idade,genero,estado,frequencia,combustivel,abastecimento,renda,posto,importancia,fidelidade-postos,aplicativo,motivo,conveniencia,classificacao
36-49 anos,Masculino,Santa Catarina,Semanalmente,Gasolina Aditivada,Completo as vezes,Principal fonte de renda,Shell,Serviços Adicionais,Não,Conheço e utilizo,Descontos em abastecimento/serviços,Não,5
Mais de 50 anos,Masculino,Sao Paulo,Quinzenalmente,Diesel,Conforme o uso,Principal fonte de renda,Shell,Serviços Adicionais,Não,Utilizo outros,Cashback,Sim,4
25-35 anos,Masculino,Ceara,Diariamente,Elétrico,Conforme o uso,Locomoção para o trabalho,Shell,Qualidade do combustível,Não,Utilizo outros,Cashback,Sim,5
Mais de 50 anos,Feminino,Piaui,2-4 vezes na semana,Etanol,Sempre completo,Principal fonte de renda,Shell,Serviços Adicionais,Não,Utilizo outros,Cashback,Não,5
25-35 anos,Feminino,Sao Paulo,Quinzenalmente,Elétrico,Conforme o uso,Locomoção para o trabalho,Shell,Atendimento,Não,Conheço mas não utilizo,Cashback,Não,5
Mais de 50 anos,Feminino,Acre,Quinzenalmente,Gasolina comum,Sempre completo,Lazer,Shell,Serviços Adicionais,Não,Conheço e utilizo,Cashback,Não,5
36-49 anos,Feminino,Bahia,2-4 vezes na semana,Gasolina comum,Sempre completo,Principal fonte de renda,Shell,Qualidade do combustível,Não,Não conheço,Descontos em abastecimento/serviços,Não,4
36-49 anos,Feminino,Roraima,2-4 vezes na semana,Gasolina comum,Conforme o uso,Lazer,Shell,Atendimento,Sim,Utilizo outros,Cashback,Não,5
Mais de 50 anos,Masculino,Pernambuco,Diariamente,Elétrico,Conforme o uso,Lazer,Shell,Loja de Conveniência,Não,Conheço e utilizo,Cashback,Sim,5
18-24 anos,Feminino,Amazonas,Quinzenalmente,Diesel,Completo as vezes,Lazer,Shell,Qualidade do combustível,Não,Utilizo outros,Não utilizo aplicativos/programas de fidelidade,Sim,4
18-24 anos,Masculino,Maranhao,Quinzenalmente,Gasolina Aditivada,Conforme o uso,Lazer,Shell,Qualidade do combustível,Não,Conheço mas não utilizo,Descontos em abastecimento/serviços,Não,5
Mais de 50 anos,Feminino,Amazonas,Diariamente,Elétrico,Conforme o uso,Lazer,Shell,Serviços Adicionais,Não,Conheço e utilizo,Descontos em abastecimento/serviços,Sim,5
18-24 anos,Feminino,Sao Paulo,Diariamente,Elétrico,Completo as vezes,Lazer,Shell,Atendimento,Não,Conheço mas não utilizo,Descontos em abastecimento/serviços,Não,5
36-49 anos,Masculino,Sao Paulo,Diariamente,Gasolina Aditivada,Conforme o uso,Principal fonte de renda,Shell,Serviços Adicionais,Não,Utilizo outros,Cashback,Sim,3
36-49 anos,Feminino,Acre,2-4 vezes na semana,Etanol,Conforme o uso,Principal fonte de renda,Shell,Preço,Não,Conheço e utilizo,Não utilizo aplicativos/programas de fidelidade,Não,5
Mais de 50 anos,Feminino,Ceara,Quinzenalmente,Elétrico,Conforme o uso,Principal fonte de renda,Shell,Localização,Não,Utilizo outros,Descontos em abastecimento/serviços,Sim,5
36-49 anos,Feminino,Parana,Diariamente,GNV,Conforme o uso,Locomoção para o trabalho,Shell,Loja de Conveniência,Não,Utilizo outros,Cashback,Não,5
36-49 anos,Masculino,Maranhao,Diariamente,Gasolina Aditivada,Conforme o uso,Principal fonte de renda,Shell,Atendimento,Não,Não conheço,Não utilizo aplicativos/programas de fidelidade,Sim,5
25-35 anos,Feminino,Goias,Quinzenalmente,GNV,Completo as vezes,Locomoção para o trabalho,Shell,Localização,Não,Utilizo outros,Cashback,Sim,5
Mais de 50 anos,Feminino,Piaui,Semanalmente,Diesel,Conforme o uso,Principal fonte de renda,Shell,Serviços Adicionais,Não,Conheço e utilizo,Descontos em abastecimento/serviços,Sim,3
Mais de 50 anos,Masculino,Rio Grande do Norte,Semanalmente,Elétrico,Conforme o uso,Lazer,Shell,Serviços Adicionais,Não,Conheço mas não utilizo,Cashback,Sim,5
36-49 anos,Masculino,Minas Gerais,2-4 vezes na semana,Gasolina Aditivada,Conforme o uso,Principal fonte de renda,Shell,Serviços Adicionais,Não,Utilizo outros,Cashback,Não,5
25-35 anos,Feminino,Rondonia,2-4 vezes na semana,Gasolina Aditivada,Completo as vezes,Lazer,Shell,Loja de Conveniência,Não,Utilizo outros,Não utilizo aplicativos/programas de fidelidade,Sim,5
25-35 anos,Feminino,Paraiba,Quinzenalmente,GNV,Conforme o uso,Principal fonte de renda,Shell,Atendimento,Não,Conheço mas não utilizo,Não utilizo aplicativos/programas de fidelidade,Sim,5
Mais de 50 anos,Feminino,Distrito Federal,2-4 vezes na semana,Elétrico,Sempre completo,Principal fonte de renda,Shell,Serviços Adicionais,Não,Conheço e utilizo,Cashback,Não,4
Mais de 50 anos,Masculino,Minas Gerais,2-4 vezes na semana,Elétrico,Conforme o uso,Principal fonte de renda,Shell,Loja de Conveniência,Não,Não conheço,Descontos em abastecimento/serviços,Sim,3
18-24 anos,Feminino,Ceara,Semanalmente,Etanol,Conforme o uso,Principal fonte de renda,Shell,Serviços Adicionais,Sim,Utilizo outros,Cashback,Não,5
18-24 anos,Feminino,Santa Catarina,Quinzenalmente,Elétrico,Sempre completo,Principal fonte de renda,Shell,Loja de Conveniência,Não,Conheço e utilizo,Cashback,Não,3
36-49 anos,Feminino,Espirito Santo,2-4 vezes na semana,Etanol,Sempre completo,Locomoção para o trabalho,Shell,Preço,Não,Conheço mas não utilizo,Cashback,Sim,5
36-49 anos,Masculino,Amapa,Quinzenalmente,Diesel,Completo as vezes,Principal fonte de renda,Shell,Serviços Adicionais,Não,Conheço mas não utilizo,Descontos em abastecimento/serviços,Não,5
Mais de 50 anos,Feminino,Minas Gerais,Diariamente,Etanol,Conforme o uso,Locomoção para o trabalho,Shell,Localização,Sim,Não conheço,Descontos em abastecimento/serviços,Não,5
Mais de 50 anos,Feminino,Sergipe,Quinzenalmente,Etanol,Completo as vezes,Lazer,Shell,Atendimento,Não,Conheço mas não utilizo,Cashback,Não,5
Mais de 50 anos,Masculino,Rio Grande do Norte,Semanalmente,Elétrico,Sempre completo,Principal fonte de renda,Shell,Atendimento,Não,Não conheço,Não utilizo aplicativos/programas de fidelidade,Sim,5
36-49 anos,Masculino,Alagoas,Quinzenalmente,GNV,Conforme o uso,Principal fonte de renda,Shell,Localização,Sim,Utilizo outros,Cashback,Não,5
Mais de 50 anos,Feminino,Parana,2-4 vezes na semana,Gasolina Aditivada,Sempre completo,Principal fonte de renda,Shell,Atendimento,Não,Utilizo outros,Descontos em abastecimento/serviços,Não,5
18-24 anos,Feminino,Roraima,Quinzenalmente,Gasolina comum,Conforme o uso,Locomoção para o trabalho,Shell,Preço,Sim,Utilizo outros,Descontos em abastecimento/serviços,Não,5
25-35 anos,Feminino,Parana,Diariamente,GNV,Conforme o uso,Locomoção para o trabalho,Shell,Preço,Sim,Utilizo outros,Cashback,Não,4
18-24 anos,Masculino,Sao Paulo,Quinzenalmente,Etanol,Sempre completo,Principal fonte de renda,Shell,Serviços Adicionais,Sim,Não conheço,Cashback,Não,5
25-35 anos,Feminino,Distrito Federal,Semanalmente,Elétrico,Completo as vezes,Principal fonte de renda,Shell,Qualidade do combustível,Não,Utilizo outros,Descontos em abastecimento/serviços,Sim,5
36-49 anos,Feminino,Paraiba,Quinzenalmente,Diesel,Conforme o uso,Lazer,Shell,Qualidade do combustível,Sim,Utilizo outros,Descontos em abastecimento/serviços,Não,4
Mais de 50 anos,Feminino,Sao Paulo,Quinzenalmente,Gasolina comum,Sempre completo,Principal fonte de renda,Shell,Qualidade do combustível,Não,Utilizo outros,Não utilizo aplicativos/programas de fidelidade,Sim,5
25-35 anos,Feminino,Para,Semanalmente,Gasolina Aditivada,Conforme o uso,Lazer,Shell,Localização,Não,Não conheço,Descontos em abastecimento/serviços,Não,5
Mais de 50 anos,Masculino,Pernambuco,Diariamente,Elétrico,Conforme o uso,Principal fonte de renda,Shell,Serviços Adicionais,Não,Conheço mas não utilizo,Não utilizo aplicativos/programas de fidelidade,Sim,5
Mais de 50 anos,Feminino,Minas Gerais,Quinzenalmente,Elétrico,Completo as vezes,Locomoção para o trabalho,Shell,Qualidade do combustível,Sim,Não conheço,Cashback,Sim,5
25-35 anos,Feminino,Amazonas,Semanalmente,Elétrico,Completo as vezes,Locomoção para o trabalho,Shell,Serviços Adicionais,Sim,Utilizo outros,Descontos em abastecimento/serviços,Não,5
36-49 anos,Feminino,Minas Gerais,Quinzenalmente,Gasolina comum,Completo as vezes,Locomoção para o trabalho,Shell,Preço,Não,Não conheço,Descontos em abastecimento/serviços,Sim,5
36-49 anos,Masculino,Rio Grande do Norte,Quinzenalmente,Diesel,Conforme o uso,Locomoção para o trabalho,Shell,Serviços Adicionais,Não,Conheço e utilizo,Cashback,Sim,5
Mais de 50 anos,Masculino,Piaui,Quinzenalmente,Gasolina Aditivada,Completo as vezes,Principal fonte de renda,Shell,Loja de Conveniência,Não,Conheço mas não utilizo,Descontos em abastecimento/serviços,Sim,5
18-24 anos,Feminino,Amazonas,Quinzenalmente,Diesel,Conforme o uso,Locomoção para o trabalho,Shell,Atendimento,Não,Conheço e utilizo,Cashback,Não,5
Mais de 50 anos,Feminino,Ceara,2-4 vezes na semana,GNV,Sempre completo,Lazer,Shell,Localização,Não,Conheço mas não utilizo,Cashback,Não,3
36-49 anos,Feminino,Parana,2-4 vezes na semana,Diesel,Conforme o uso,Locomoção para o trabalho,Shell,Qualidade do combustível,Não,Conheço mas não utilizo,Cashback,Não,5
18-24 anos,Masculino,Alagoas,Diariamente,GNV,Conforme o uso,Locomoção para o trabalho,Shell,Loja de Conveniência,Não,Utilizo outros,Cashback,Não,5
18-24 anos,Feminino,Bahia,Semanalmente,Gasolina comum,Conforme o uso,Principal fonte de renda,Shell,Serviços Adicionais,Não,Conheço e utilizo,Descontos em abastecimento/serviços,Não,4
Mais de 50 anos,Feminino,Rondonia,Quinzenalmente,Elétrico,Sempre completo,Principal fonte de renda,Shell,Localização,Sim,Utilizo outros,Cashback,Não,5
18-24 anos,Masculino,Sao Paulo,Quinzenalmente,Diesel,Completo as vezes,Principal fonte de renda,Shell,Serviços Adicionais,Não,Conheço e utilizo,Descontos em abastecimento/serviços,Não,5
36-49 anos,Masculino,Ceara,Diariamente,Gasolina comum,Completo as vezes,Principal fonte de renda,Shell,Serviços Adicionais,Não,Utilizo outros,Não utilizo aplicativos/programas de fidelidade,Não,5
36-49 anos,Feminino,Sao Paulo,Semanalmente,GNV,Conforme o uso,Locomoção para o trabalho,Shell,Preço,Não,Utilizo outros,Cashback,Não,5
36-49 anos,Feminino,Espirito Santo,Quinzenalmente,Gasolina Aditivada,Conforme o uso,Principal fonte de renda,Shell,Atendimento,Não,Não conheço,Descontos em abastecimento/serviços,Não,5
Mais de 50 anos,Masculino,Rondonia,Quinzenalmente,Diesel,Conforme o uso,Locomoção para o trabalho,Shell,Atendimento,Não,Utilizo outros,Cashback,Sim,5
36-49 anos,Masculino,Bahia,Quinzenalmente,GNV,Conforme o uso,Locomoção para o trabalho,Shell,Loja de Conveniência,Não,Conheço mas não utilizo,Descontos em abastecimento/serviços,Não,3
Mais de 50 anos,Masculino,Distrito Federal,2-4 vezes na semana,Elétrico,Conforme o uso,Principal fonte de renda,Shell,Atendimento,Sim,Conheço e utilizo,Descontos em abastecimento/serviços,Não,3
36-49 anos,Feminino,Acre,2-4 vezes na semana,Elétrico,Sempre completo,Lazer,Shell,Qualidade do combustível,Não,Utilizo outros,Cashback,Não,3
Mais de 50 anos,Feminino,Minas Gerais,Diariamente,GNV,Conforme o uso,Lazer,Shell,Loja de Conveniência,Não,Conheço mas não utilizo,Descontos em abastecimento/serviços,Não,5
36-49 anos,Masculino,Sao Paulo,Diariamente,GNV,Sempre completo,Locomoção para o trabalho,Shell,Loja de Conveniência,Não,Conheço e utilizo,Não utilizo aplicativos/programas de fidelidade,Sim,5
36-49 anos,Feminino,Maranhao,Diariamente,Gasolina Aditivada,Conforme o uso,Lazer,Shell,Qualidade do combustível,Não,Utilizo outros,Cashback,Sim,5
25-35 anos,Feminino,Sao Paulo,Quinzenalmente,Gasolina Aditivada,Sempre completo,Locomoção para o trabalho,Shell,Serviços Adicionais,Sim,Conheço e utilizo,Não utilizo aplicativos/programas de fidelidade,Não,4
36-49 anos,Feminino,Piaui,Quinzenalmente,Elétrico,Conforme o uso,Locomoção para o trabalho,Shell,Qualidade do combustível,Não,Conheço e utilizo,Descontos em abastecimento/serviços,Não,3
18-24 anos,Feminino,Distrito Federal,2-4 vezes na semana,Gasolina Aditivada,Conforme o uso,Locomoção para o trabalho,Shell,Preço,Não,Conheço e utilizo,Cashback,Não,5
Mais de 50 anos,Feminino,Ceara,Semanalmente,Gasolina Aditivada,Conforme o uso,Principal fonte de renda,Shell,Preço,Não,Conheço mas não utilizo,Descontos em abastecimento/serviços,Sim,4
18-24 anos,Feminino,Amapa,Semanalmente,Elétrico,Sempre completo,Principal fonte de renda,Shell,Qualidade do combustível,Não,Utilizo outros,Cashback,Sim,5
36-49 anos,Feminino,Rio Grande do Norte,2-4 vezes na semana,GNV,Conforme o uso,Principal fonte de renda,Shell,Localização,Não,Conheço mas não utilizo,Não utilizo aplicativos/programas de fidelidade,Não,4
36-49 anos,Feminino,Pernambuco,Semanalmente,Diesel,Conforme o uso,Principal fonte de renda,Shell,Serviços Adicionais,Não,Utilizo outros,Descontos em abastecimento/serviços,Sim,3
18-24 anos,Feminino,Sao Paulo,Diariamente,GNV,Conforme o uso,Locomoção para o trabalho,Shell,Preço,Sim,Utilizo outros,Descontos em abastecimento/serviços,Sim,4
36-49 anos,Masculino,Parana,Diariamente,Gasolina comum,Conforme o uso,Principal fonte de renda,Shell,Loja de Conveniência,Sim,Conheço e utilizo,Não utilizo aplicativos/programas de fidelidade,Não,3
36-49 anos,Feminino,Amazonas,Quinzenalmente,Gasolina Aditivada,Sempre completo,Principal fonte de renda,Shell,Atendimento,Sim,Não conheço,Cashback,Sim,5
18-24 anos,Feminino,Rio Grande do Sul,2-4 vezes na semana,Gasolina comum,Sempre completo,Locomoção para o trabalho,Shell,Serviços Adicionais,Não,Conheço e utilizo,Cashback,Sim,3
Mais de 50 anos,Feminino,Ceara,2-4 vezes na semana,Elétrico,Conforme o uso,Principal fonte de renda,Shell,Qualidade do combustível,Sim,Conheço e utilizo,Cashback,Não,5
25-35 anos,Masculino,Mato Grosso,Quinzenalmente,Etanol,Completo as vezes,Principal fonte de renda,Shell,Localização,Não,Não conheço,Cashback,Sim,3
Mais de 50 anos,Masculino,Rondonia,Diariamente,Gasolina Aditivada,Conforme o uso,Locomoção para o trabalho,Shell,Atendimento,Não,Conheço mas não utilizo,Cashback,Não,4
Mais de 50 anos,Feminino,Sao Paulo,2-4 vezes na semana,GNV,Conforme o uso,Principal fonte de renda,Shell,Preço,Não,Não conheço,Não utilizo aplicativos/programas de fidelidade,Não,5
25-35 anos,Feminino,Sergipe,Quinzenalmente,Gasolina comum,Conforme o uso,Lazer,Shell,Preço,Não,Não conheço,Cashback,Não,5
36-49 anos,Masculino,Rondonia,Quinzenalmente,Elétrico,Sempre completo,Locomoção para o trabalho,Shell,Atendimento,Não,Utilizo outros,Cashback,Sim,5
25-35 anos,Masculino,Alagoas,Quinzenalmente,Diesel,Sempre completo,Principal fonte de renda,Shell,Serviços Adicionais,Não,Conheço mas não utilizo,Cashback,Não,3
25-35 anos,Feminino,Amazonas,Diariamente,Gasolina Aditivada,Completo as vezes,Principal fonte de renda,Shell,Qualidade do combustível,Não,Conheço e utilizo,Descontos em abastecimento/serviços,Não,5
25-35 anos,Feminino,Amazonas,Quinzenalmente,Elétrico,Sempre completo,Principal fonte de renda,Shell,Serviços Adicionais,Sim,Conheço e utilizo,Não utilizo aplicativos/programas de fidelidade,Sim,5
Mais de 50 anos,Masculino,Pernambuco,Quinzenalmente,GNV,Sempre completo,Principal fonte de renda,Shell,Serviços Adicionais,Sim,Conheço e utilizo,Cashback,Sim,4
36-49 anos,Masculino,Bahia,Semanalmente,Etanol,Conforme o uso,Lazer,Shell,Serviços Adicionais,Não,Não conheço,Descontos em abastecimento/serviços,Sim,5
25-35 anos,Masculino,Espirito Santo,Quinzenalmente,Elétrico,Completo as vezes,Principal fonte de renda,Shell,Atendimento,Não,Conheço mas não utilizo,Cashback,Não,5
Mais de 50 anos,Feminino,Amapa,Quinzenalmente,Etanol,Conforme o uso,Principal fonte de renda,Shell,Preço,Não,Utilizo outros,Cashback,Sim,5
Mais de 50 anos,Feminino,Paraiba,Quinzenalmente,GNV,Completo as vezes,Locomoção para o trabalho,Shell,Serviços Adicionais,Não,Conheço e utilizo,Descontos em abastecimento/serviços,Não,5
Mais de 50 anos,Feminino,Minas Gerais,2-4 vezes na semana,Gasolina comum,Completo as vezes,Lazer,Shell,Serviços Adicionais,Não,Não conheço,Descontos em abastecimento/serviços,Não,3
18-24 anos,Feminino,Parana,Semanalmente,Etanol,Conforme o uso,Locomoção para o trabalho,Shell,Loja de Conveniência,Sim,Utilizo outros,Descontos em abastecimento/serviços,Sim,4
25-35 anos,Feminino,Rio Grande do Norte,Quinzenalmente,Diesel,Conforme o uso,Locomoção para o trabalho,Shell,Serviços Adicionais,Sim,Conheço e utilizo,Cashback,Não,5
Mais de 50 anos,Masculino,Sao Paulo,Diariamente,GNV,Conforme o uso,Principal fonte de renda,Shell,Serviços Adicionais,Sim,Conheço e utilizo,Cashback,Sim,5
36-49 anos,Feminino,Sao Paulo,Quinzenalmente,Diesel,Conforme o uso,Principal fonte de renda,Shell,Serviços Adicionais,Sim,Utilizo outros,Não utilizo aplicativos/programas de fidelidade,Sim,5
18-24 anos,Feminino,Pernambuco,Quinzenalmente,Gasolina Aditivada,Completo as vezes,Principal fonte de renda,Shell,Serviços Adicionais,Não,Utilizo outros,Cashback,Não,5
Mais de 50 anos,Masculino,Maranhao,Quinzenalmente,Elétrico,Completo as vezes,Principal fonte de renda,Shell,Serviços Adicionais,Não,Conheço mas não utilizo,Descontos em abastecimento/serviços,Não,3
25-35 anos,Masculino,Parana,Quinzenalmente,Elétrico,Conforme o uso,Lazer,Shell,Preço,Sim,Conheço e utilizo,Cashback,Sim,5
18-24 anos,Feminino,Sao Paulo,Diariamente,Elétrico,Sempre completo,Locomoção para o trabalho,Shell,Localização,Não,Utilizo outros,Cashback,Não,3
18-24 anos,Masculino,Sao Paulo,Semanalmente,Gasolina Aditivada,Completo as vezes,Principal fonte de renda,Shell,Atendimento,Não,Conheço mas não utilizo,Cashback,Não,5
Mais de 50 anos,Feminino,Sao Paulo,Quinzenalmente,Diesel,Conforme o uso,Lazer,Shell,Preço,Não,Conheço mas não utilizo,Cashback,Sim,4
Mais de 50 anos,Masculino,Pernambuco,Quinzenalmente,Elétrico,Conforme o uso,Principal fonte de renda,Shell,Atendimento,Não,Não conheço,Descontos em abastecimento/serviços,Não,4
Mais de 50 anos,Masculino,Sao Paulo,Quinzenalmente,Gasolina comum,Completo as vezes,Principal fonte de renda,Shell,Loja de Conveniência,Sim,Conheço e utilizo,Cashback,Não,5
18-24 anos,Masculino,Alagoas,Semanalmente,Gasolina Aditivada,Conforme o uso,Principal fonte de renda,Shell,Localização,Não,Não conheço,Cashback,Sim,5
Mais de 50 anos,Feminino,Acre,Semanalmente,Gasolina Aditivada,Conforme o uso,Principal fonte de renda,Shell,Localização,Não,Não conheço,Não utilizo aplicativos/programas de fidelidade,Não,4
25-35 anos,Feminino,Santa Catarina,Diariamente,Gasolina Aditivada,Completo as vezes,Principal fonte de renda,Shell,Preço,Não,Utilizo outros,Descontos em abastecimento/serviços,Não,5
25-35 anos,Feminino,Rio Grande do Norte,Quinzenalmente,Elétrico,Conforme o uso,Principal fonte de renda,Shell,Atendimento,Não,Utilizo outros,Cashback,Não,5
Mais de 50 anos,Feminino,Minas Gerais,2-4 vezes na semana,Gasolina comum,Completo as vezes,Principal fonte de renda,Shell,Qualidade do combustível,Sim,Não conheço,Descontos em abastecimento/serviços,Não,5
18-24 anos,Masculino,Rio Grande do Sul,2-4 vezes na semana,Elétrico,Conforme o uso,Principal fonte de renda,Shell,Serviços Adicionais,Não,Conheço e utilizo,Cashback,Não,4
36-49 anos,Masculino,Mato Grosso,Quinzenalmente,Gasolina comum,Conforme o uso,Locomoção para o trabalho,Shell,Atendimento,Não,Utilizo outros,Não utilizo aplicativos/programas de fidelidade,Não,4
36-49 anos,Feminino,Ceara,Quinzenalmente,Etanol,Sempre completo,Lazer,Shell,Qualidade do combustível,Não,Utilizo outros,Não utilizo aplicativos/programas de fidelidade,Sim,5
Mais de 50 anos,Feminino,Distrito Federal,Quinzenalmente,Etanol,Sempre completo,Principal fonte de renda,Shell,Qualidade do combustível,Sim,Conheço e utilizo,Cashback,Não,4
25-35 anos,Feminino,Sao Paulo,Diariamente,Elétrico,Conforme o uso,Principal fonte de renda,Shell,Loja de Conveniência,Não,Conheço mas não utilizo,Cashback,Não,5
18-24 anos,Feminino,Sergipe,Semanalmente,Diesel,Sempre completo,Lazer,Shell,Localização,Sim,Conheço e utilizo,Não utilizo aplicativos/programas de fidelidade,Não,5
Mais de 50 anos,Feminino,Mato Grosso,Diariamente,Diesel,Sempre completo,Locomoção para o trabalho,Shell,Atendimento,Não,Não conheço,Não utilizo aplicativos/programas de fidelidade,Sim,5
18-24 anos,Feminino,Amazonas,Semanalmente,GNV,Conforme o uso,Principal fonte de renda,Shell,Qualidade do combustível,Sim,Utilizo outros,Cashback,Sim,5
Mais de 50 anos,Feminino,Distrito Federal,2-4 vezes na semana,Gasolina Aditivada,Conforme o uso,Locomoção para o trabalho,Shell,Serviços Adicionais,Sim,Utilizo outros,Cashback,Sim,5
Mais de 50 anos,Masculino,Parana,Diariamente,Gasolina comum,Completo as vezes,Principal fonte de renda,Shell,Loja de Conveniência,Não,Conheço e utilizo,Cashback,Sim,3
25-35 anos,Feminino,Ceara,2-4 vezes na semana,Gasolina Aditivada,Completo as vezes,Principal fonte de renda,Shell,Serviços Adicionais,Não,Utilizo outros,Cashback,Sim,3
Mais de 50 anos,Masculino,Mato Grosso do Sul,Semanalmente,GNV,Conforme o uso,Locomoção para o trabalho,Shell,Preço,Não,Conheço mas não utilizo,Cashback,Sim,5
Mais de 50 anos,Feminino,Roraima,Quinzenalmente,Etanol,Conforme o uso,Principal fonte de renda,Shell,Loja de Conveniência,Não,Utilizo outros,Cashback,Não,3
18-24 anos,Masculino,Roraima,2-4 vezes na semana,Elétrico,Completo as vezes,Principal fonte de renda,Shell,Serviços Adicionais,Não,Conheço mas não utilizo,Cashback,Não,4
25-35 anos,Masculino,Acre,Quinzenalmente,GNV,Completo as vezes,Locomoção para o trabalho,Shell,Qualidade do combustível,Sim,Utilizo outros,Cashback,Sim,5
Mais de 50 anos,Masculino,Amazonas,Semanalmente,Elétrico,Conforme o uso,Locomoção para o trabalho,Shell,Atendimento,Não,Utilizo outros,Cashback,Não,5
Mais de 50 anos,Feminino,Bahia,Quinzenalmente,Etanol,Completo as vezes,Principal fonte de renda,Shell,Loja de Conveniência,Não,Conheço mas não utilizo,Descontos em abastecimento/serviços,Sim,5
18-24 anos,Feminino,Acre,Quinzenalmente,GNV,Conforme o uso,Lazer,Shell,Serviços Adicionais,Não,Conheço e utilizo,Cashback,Não,4
Mais de 50 anos,Masculino,Parana,Quinzenalmente,Elétrico,Completo as vezes,Locomoção para o trabalho,Shell,Atendimento,Não,Utilizo outros,Descontos em abastecimento/serviços,Sim,5
25-35 anos,Masculino,Bahia,Semanalmente,Gasolina Aditivada,Conforme o uso,Principal fonte de renda,Shell,Qualidade do combustível,Não,Conheço e utilizo,Não utilizo aplicativos/programas de fidelidade,Não,5
18-24 anos,Feminino,Bahia,Diariamente,Gasolina Aditivada,Conforme o uso,Locomoção para o trabalho,Shell,Serviços Adicionais,Não,Conheço mas não utilizo,Não utilizo aplicativos/programas de fidelidade,Não,5
25-35 anos,Feminino,Maranhao,2-4 vezes na semana,Gasolina Aditivada,Conforme o uso,Principal fonte de renda,Shell,Localização,Não,Conheço mas não utilizo,Não utilizo aplicativos/programas de fidelidade,Sim,5
25-35 anos,Masculino,Minas Gerais,Quinzenalmente,Gasolina comum,Sempre completo,Lazer,Shell,Loja de Conveniência,Não,Conheço e utilizo,Cashback,Sim,5
Mais de 50 anos,Feminino,Amapa,Semanalmente,Elétrico,Sempre completo,Principal fonte de renda,Shell,Qualidade do combustível,Não,Conheço mas não utilizo,Cashback,Não,5
36-49 anos,Feminino,Paraiba,Quinzenalmente,Elétrico,Conforme o uso,Principal fonte de renda,Shell,Qualidade do combustível,Sim,Conheço mas não utilizo,Cashback,Não,3
36-49 anos,Masculino,Sao Paulo,Semanalmente,Etanol,Completo as vezes,Locomoção para o trabalho,Shell,Serviços Adicionais,Sim,Conheço e utilizo,Cashback,Não,5
Mais de 50 anos,Feminino,Santa Catarina,Diariamente,Elétrico,Sempre completo,Principal fonte de renda,Shell,Loja de Conveniência,Não,Não conheço,Cashback,Não,3
Mais de 50 anos,Feminino,Parana,2-4 vezes na semana,Etanol,Sempre completo,Lazer,Shell,Serviços Adicionais,Sim,Utilizo outros,Não utilizo aplicativos/programas de fidelidade,Sim,5
18-24 anos,Masculino,Rio Grande do Sul,Quinzenalmente,Elétrico,Completo as vezes,Locomoção para o trabalho,Shell,Preço,Não,Utilizo outros,Não utilizo aplicativos/programas de fidelidade,Não,3
18-24 anos,Feminino,Santa Catarina,2-4 vezes na semana,Elétrico,Conforme o uso,Principal fonte de renda,Shell,Qualidade do combustível,Sim,Conheço mas não utilizo,Descontos em abastecimento/serviços,Não,5
36-49 anos,Feminino,Amazonas,Diariamente,Diesel,Sempre completo,Locomoção para o trabalho,Shell,Atendimento,Não,Conheço e utilizo,Não utilizo aplicativos/programas de fidelidade,Sim,5
18-24 anos,Masculino,Parana,Quinzenalmente,Etanol,Sempre completo,Principal fonte de renda,Shell,Loja de Conveniência,Sim,Utilizo outros,Não utilizo aplicativos/programas de fidelidade,Não,5
36-49 anos,Feminino,Goias,Semanalmente,Diesel,Sempre completo,Principal fonte de renda,Shell,Serviços Adicionais,Não,Conheço e utilizo,Não utilizo aplicativos/programas de fidelidade,Não,4
25-35 anos,Feminino,Amazonas,Quinzenalmente,Elétrico,Conforme o uso,Lazer,Shell,Localização,Não,Utilizo outros,Cashback,Sim,4
18-24 anos,Feminino,Parana,Diariamente,Etanol,Conforme o uso,Principal fonte de renda,Shell,Qualidade do combustível,Não,Utilizo outros,Cashback,Não,5
18-24 anos,Masculino,Rio Grande do Norte,Diariamente,Etanol,Conforme o uso,Principal fonte de renda,Shell,Qualidade do combustível,Não,Utilizo outros,Não utilizo aplicativos/programas de fidelidade,Sim,5
18-24 anos,Feminino,Distrito Federal,Diariamente,Elétrico,Conforme o uso,Principal fonte de renda,Shell,Qualidade do combustível,Não,Conheço e utilizo,Cashback,Não,5
36-49 anos,Feminino,Parana,Quinzenalmente,Gasolina comum,Sempre completo,Lazer,Shell,Loja de Conveniência,Não,Conheço e utilizo,Cashback,Sim,5
25-35 anos,Masculino,Mato Grosso,2-4 vezes na semana,Etanol,Sempre completo,Principal fonte de renda,Shell,Serviços Adicionais,Não,Não conheço,Descontos em abastecimento/serviços,Não,3
36-49 anos,Masculino,Acre,Quinzenalmente,Elétrico,Completo as vezes,Principal fonte de renda,Shell,Atendimento,Não,Não conheço,Cashback,Sim,5
Mais de 50 anos,Feminino,Distrito Federal,Semanalmente,GNV,Conforme o uso,Locomoção para o trabalho,Shell,Preço,Não,Não conheço,Cashback,Não,5
Mais de 50 anos,Feminino,Paraiba,Quinzenalmente,Gasolina Aditivada,Conforme o uso,Principal fonte de renda,Shell,Atendimento,Sim,Utilizo outros,Não utilizo aplicativos/programas de fidelidade,Sim,5
